CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01194;Jassans-Riottier;2037;203;39;254;96;359;154;124;825;46;132
01195;Jasseron;480;54;10;136;58;136;64;58;275;14;67
01196;Jayat;396;11;2;28;21;53;43;21;248;5;38
01197;Journans;93;7;14;32;31;14;18;8;44;8;18
01198;Joyeux;81;9;0;10;8;25;12;4;47;5;9
01199;Jujurieux;708;69;14;112;60;89;43;38;340;13;77
01200;Labalme;72;10;7;9;3;3;5;6;16;2;15
01202;Lagnieu;2583;208;43;279;97;367;191;147;1234;64;188
01203;Laiz;424;16;15;67;20;83;43;23;225;18;28
01204;Le Poizat-Lalleyriat;260;18;7;39;25;38;21;17;89;6;31
01206;Lantenay;71;8;2;16;3;9;9;7;66;3;18
01207;Lapeyrouse;97;8;0;12;3;10;20;19;69;2;13
01208;Lavours;28;4;1;9;3;8;6;3;36;1;8
01209;Léaz;254;18;3;32;12;34;6;17;89;8;38
01210;Lélex;93;4;0;7;5;18;13;12;34;1;16
01211;Lent;467;27;8;64;28;105;43;37;286;8;62
01212;Lescheroux;278;11;10;25;6;30;17;11;142;3;15
01213;Leyment;492;38;8;47;30;58;38;44;232;7;34
01214;Leyssard;46;4;1;12;8;9;4;7;21;1;12
01215;Surjoux-Lhopital;37;0;1;7;2;10;8;5;30;3;5
01216;Lhuis;237;21;2;37;19;62;22;13;181;10;37
01219;Lompnas;33;5;1;7;8;5;16;8;28;1;9
01224;Loyettes;1127;77;17;78;32;149;52;63;491;25;56
01225;Lurcy;151;10;0;32;15;28;19;19;85;3;17
01227;Magnieu;207;18;6;41;25;34;25;22;124;6;19
01228;Maillat;211;8;2;15;6;50;42;32;96;3;27
01229;Malafretaz;421;16;4;54;13;79;48;23;214;18;39
01230;Mantenay-Montlin;119;9;1;6;1;19;14;5;66;1;13
01231;Manziat;639;24;10;88;22;175;76;54;376;19;67
01232;Marboz;745;41;16;103;34;136;89;64;374;12;73
01233;Marchamp;31;4;3;13;6;7;8;3;22;4;5
01234;Marignieu;54;1;2;5;6;3;6;4;45;0;12
01235;Marlieux;338;25;10;43;12;50;33;51;170;9;36
01236;Marsonnas;334;13;4;51;10;71;26;22;158;9;30
01237;Martignat;616;65;4;35;18;57;49;31;258;18;37
01238;Massieux;877;92;17;174;45;205;100;60;441;14;72
01239;Massignieu-de-Rives;166;12;12;47;10;48;28;17;138;10;37
01240;Matafelon-Granges;198;6;5;34;4;24;16;15;133;7;35
01241;Meillonnas;444;43;15;111;39;83;52;42;186;12;49
01242;Mérignat;23;9;3;15;9;7;6;3;11;0;8
01243;Messimy-sur-Saône;352;26;8;67;38;101;53;28;229;18;51
01244;Meximieux;2772;306;45;411;141;445;245;117;914;62;217
01245;Bohas-Meyriat-Rignat;277;31;2;80;26;51;27;42;141;5;55
01246;Mézériat;848;49;9;91;22;120;53;42;331;15;60
01247;Mijoux;101;7;2;9;10;16;14;11;36;7;23
01248;Mionnay;709;55;18;107;68;163;86;86;412;23;65
01249;Miribel;3268;419;43;589;234;579;319;205;1146;64;267
01250;Misérieux;581;43;11;121;41;121;79;44;256;13;40
01252;Mogneneins;269;9;4;32;19;64;31;15;154;5;33
01254;Montagnat;752;43;5;126;49;203;91;65;285;16;74
01255;Montagnieu;204;8;2;34;7;25;17;9;106;4;15
01257;Montanges;128;9;2;20;15;14;5;5;74;4;18
01258;Montceaux;435;18;2;40;22;61;49;34;244;7;37
01259;Montcet;169;10;2;36;10;46;14;14;132;8;38
01260;Le Montellier;84;0;3;10;6;28;13;12;53;2;15
01261;Monthieux;213;15;4;45;11;52;21;24;126;7;25
