CODGEO;LIBGEO;Abstention;LO;PCF;LFI;Génération.s;PS - Place Publique;EELV;Renaissance;UDI;LR;Debout la France;RN;Patriotes, Jaunes, Citoyens;UPR;Alliance Jaune;Divers
59442;Obrechies;84;0;5;5;3;12;14;27;0;12;6;65;0;0;0;6
59443;Ochtezeele;104;2;1;5;1;9;18;34;4;22;13;44;2;4;0;8
59444;Odomez;317;1;13;16;7;6;32;34;16;16;9;114;1;1;2;20
59445;Ohain;493;6;8;28;7;15;30;48;8;31;13;190;3;4;2;22
59446;Oisy;182;6;2;14;2;14;23;57;11;9;3;82;2;3;2;21
59447;Onnaing;3438;47;266;236;56;61;172;295;90;113;67;1014;24;41;34;132
59448;Oost-Cappel;156;4;3;8;2;12;16;28;5;7;9;64;4;0;5;5
59449;Orchies;3275;39;115;214;78;195;385;539;86;181;118;1032;30;35;9;239
59450;Ors;251;1;8;25;6;12;25;14;9;0;13;114;3;0;2;13
59451;Orsinval;170;1;45;7;2;15;25;48;13;15;12;67;1;5;2;6
59452;Ostricourt;2058;17;19;183;76;85;140;194;36;61;49;596;20;29;19;119
59453;Oudezeele;204;3;3;17;3;11;43;64;5;26;14;83;7;2;1;9
59454;Oxelaëre;125;0;2;10;2;11;23;53;5;59;8;41;0;1;0;6
59455;Paillencourt;321;2;11;35;9;11;34;63;14;23;36;159;11;2;3;24
59456;Pecquencourt;2473;17;68;186;42;81;103;179;24;42;52;814;32;25;16;73
59457;Pérenchies;3133;19;47;170;101;177;448;573;66;182;110;823;23;35;21;162
59458;Péronne-en-Mélantois;238;1;6;11;9;27;60;108;12;50;20;67;2;5;0;26
59459;Petite-Forêt;1776;27;164;161;43;79;156;219;33;50;55;735;30;14;10;90
59461;Petit-Fayt;91;1;0;9;2;5;12;20;2;12;15;52;0;0;0;4
59462;Phalempin;1474;12;30;110;52;100;348;535;61;220;54;440;16;21;6;136
59463;Pitgam;323;2;2;16;5;7;37;63;19;48;15;133;1;5;1;8
59464;Poix-du-Nord;774;6;71;18;16;28;31;65;12;32;25;342;15;3;6;26
59465;Pommereuil;220;1;3;13;7;6;18;35;2;12;14;153;0;4;2;9
59466;Pont-à-Marcq;889;9;23;68;25;52;188;273;38;77;49;273;11;6;6;61
59467;Pont-sur-Sambre;912;5;41;53;21;44;59;140;19;32;40;340;6;4;9;39
59468;Potelle;138;0;12;17;2;8;18;42;7;22;18;51;0;1;0;4
59469;Pradelles;96;1;2;7;0;3;22;28;9;15;12;44;0;1;1;8
59470;Prémesques;600;6;25;39;18;35;167;261;47;80;32;189;4;5;1;39
59471;Préseau;763;6;54;44;13;30;69;180;17;51;36;208;2;7;9;40
59472;Preux-au-Bois;309;7;10;34;3;11;27;51;7;14;12;97;5;5;0;24
59473;Preux-au-Sart;99;3;7;6;2;1;10;31;6;9;4;23;1;3;0;8
59474;Prisches;395;4;10;35;8;20;32;62;15;23;27;139;3;8;2;14
59475;Prouvy;751;0;127;63;14;20;69;132;19;21;22;324;15;7;5;48
59476;Proville;1158;16;22;82;31;65;138;292;38;132;71;440;23;15;9;74
59477;Provin;1371;15;34;109;49;79;204;237;31;93;66;628;15;11;11;91
59478;Quaëdypre;418;5;3;17;11;15;41;102;16;65;18;160;1;0;2;29
59479;Quarouble;1338;16;42;82;17;50;93;137;34;56;38;484;13;14;9;62
59480;Quérénaing;256;5;15;26;6;14;49;66;20;31;18;114;6;1;1;30
59481;Le Quesnoy;1778;13;217;108;28;123;147;244;26;105;70;473;14;25;8;80
59482;Quesnoy-sur-Deûle;2470;17;35;123;61;119;408;728;121;219;94;646;21;9;14;130
59483;Quiévelon;52;0;0;5;0;0;4;10;2;6;4;28;0;1;0;5
59484;Quiévrechain;2123;26;125;125;31;53;67;144;39;48;44;670;12;19;12;98
59485;Quiévy;716;5;20;43;11;23;38;67;7;27;38;271;4;1;3;26
59486;Râches;907;16;28;77;28;38;100;146;32;37;34;377;7;9;10;61
59487;Radinghem-en-Weppes;438;2;6;20;10;36;100;241;21;97;37;131;2;5;3;31
59488;Raillencourt-Sainte-Olle;712;16;16;46;16;40;66;202;26;66;62;355;6;11;7;46
59489;Raimbeaucourt;1392;10;37;81;29;68;149;296;30;102;57;663;18;12;7;99
59490;Rainsars;61;1;0;4;0;0;5;26;6;8;11;36;0;0;0;3
59491;Raismes;5373;38;427;332;84;100;231;423;73;95;110;1724;64;38;25;212
59492;Ramillies;178;0;9;11;5;12;20;42;6;23;20;106;2;1;2;15
59493;Ramousies;85;0;2;5;3;3;5;24;1;3;2;31;0;0;0;4
59494;Raucourt-au-Bois;58;0;4;1;3;1;5;9;0;1;2;25;0;1;0;2
59495;Recquignies;1010;12;24;58;16;18;45;63;16;30;21;334;15;9;3;34
59496;Rejet-de-Beaulieu;81;2;0;3;0;1;7;9;0;5;4;52;0;2;0;6
59497;Renescure;767;14;10;45;17;44;98;208;23;63;43;309;10;7;6;32
59498;Reumont;86;1;3;4;1;7;16;29;7;6;5;66;3;2;2;6
59499;Rexpoëde;698;3;7;39;13;28;81;115;28;63;33;269;9;10;6;29
59500;Ribécourt-la-Tour;143;1;3;11;3;4;5;20;16;12;7;69;0;1;2;7
59501;Rieulay;451;5;13;41;12;29;59;104;11;26;20;184;4;3;5;27
59502;Rieux-en-Cambrésis;440;9;34;41;13;17;31;59;12;19;27;251;6;4;6;27
59503;Robersart;40;0;7;0;0;3;4;15;3;5;9;29;0;4;0;3
59504;Roeulx;1155;18;258;86;20;64;69;96;22;51;27;600;23;7;7;40
59505;Rombies-et-Marchipont;223;1;3;13;3;18;17;61;23;30;9;113;0;2;0;27
59506;Romeries;127;2;1;12;3;13;8;47;6;27;11;65;0;1;2;11
59507;Ronchin;6003;39;133;554;227;548;1059;1132;137;247;133;1259;37;56;21;304
59508;Roncq;5602;28;84;232;108;192;686;1359;170;505;204;1183;39;52;24;291
59509;Roost-Warendin;2326;18;71;221;39;112;150;261;40;69;68;1013;39;21;13;101
59511;Rosult;568;8;32;51;21;42;117;200;39;52;28;207;8;6;3;63
59512;Roubaix;32194;122;289;2049;644;777;1597;2659;275;639;307;2759;161;274;65;978
59513;Roucourt;142;0;7;15;4;11;20;45;1;16;13;67;1;0;0;6
59514;Rousies;1296;11;33;111;31;85;102;215;38;85;64;606;23;16;11;84
59515;Rouvignies;223;5;21;13;1;10;22;31;3;9;8;127;0;4;2;8
59516;Rubrouck;293;2;3;24;8;16;40;97;17;38;16;87;4;11;1;18
59517;Les Rues-des-Vignes;304;5;5;20;6;15;18;74;4;15;23;99;2;2;1;24
59518;Ruesnes;148;0;10;9;1;3;29;34;1;13;15;59;0;2;0;10
59519;Rumegies;571;3;14;32;23;26;86;129;25;61;24;210;2;3;2;45
59520;Rumilly-en-Cambrésis;470;10;15;66;24;17;39;108;18;26;38;187;5;2;3;31
59521;Sailly-lez-Cambrai;135;2;4;12;1;7;10;30;6;14;10;43;1;0;1;10
59522;Sailly-lez-Lannoy;525;2;11;19;12;46;207;339;42;111;25;119;3;8;3;33
59523;Sainghin-en-Mélantois;848;8;11;52;26;59;195;428;47;163;42;224;7;5;2;59
59524;Sainghin-en-Weppes;2021;18;69;141;45;126;313;500;46;143;84;571;13;17;5;87
59525;Sains-du-Nord;884;10;39;87;21;38;64;132;10;50;39;384;13;9;4;45
59526;Saint-Amand-les-Eaux;6685;47;595;315;158;237;598;959;130;245;186;1893;33;57;36;238
59527;Saint-André-lez-Lille;3800;30;70;271;150;305;761;1027;202;267;110;794;30;58;18;237
59528;Saint-Aubert;572;3;26;37;7;21;43;69;14;27;30;241;1;2;6;28
59529;Saint-Aubin;145;3;1;10;2;3;14;24;2;6;10;46;1;2;1;10
59530;Saint-Aybert;130;1;1;14;0;5;12;13;21;8;5;69;1;3;0;11
59531;Saint-Benin;109;0;3;6;0;7;13;16;3;4;10;64;2;0;1;4
59532;Saint-Georges-sur-l'Aa;84;3;1;14;3;8;15;15;5;13;6;47;2;3;2;6
59533;Saint-Hilaire-lez-Cambrai;530;6;32;44;14;19;29;77;27;17;27;251;1;3;11;25
59534;Saint-Hilaire-sur-Helpe;290;2;10;13;10;25;38;44;7;20;16;92;3;4;0;14
59535;Saint-Jans-Cappel;478;5;9;30;11;34;140;200;22;61;31;174;2;7;4;51
