CODGEO;LIBGEO;Abstention;Extrême-Gauche;NFP;Divers Gauche;Ensemble;Divers Centre;LR;RN;Reconquête;Divers
24468;Saint-Michel-de-Villadeix;50;6.0;36.0;0.0;0.0;46.0;22.0;75.0;1.0;0.0
24470;Sainte-Mondane;51;1.0;81.0;0.0;0.0;26.0;8.0;61.0;2.0;0.0
24471;Sainte-Nathalène;133;2.0;146.0;0.0;24.0;56.0;30.0;113.0;7.0;0.0
24472;Saint-Nexans;207;8.0;145.0;0.0;111.0;0.0;44.0;246.0;0.0;0.0
24473;Sainte-Orse;66;1.0;68.0;0.0;0.0;41.0;40.0;108.0;3.0;0.0
24474;Saint-Pancrace;31;1.0;39.0;0.0;25.0;0.0;5.0;31.0;0.0;0.0
24476;Saint-Pantaly-d'Excideuil;21;0.0;47.0;0.0;27.0;0.0;8.0;30.0;0.0;0.0
24477;Saint-Pardoux-de-Drône;35;1.0;54.0;0.0;21.0;0.0;9.0;38.0;0.0;0.0
24478;Saint-Pardoux-et-Vielvic;36;0.0;31.0;0.0;0.0;12.0;5.0;35.0;2.0;0.0
24479;Saint-Pardoux-la-Rivière;279;4.0;161.0;0.0;164.0;0.0;41.0;262.0;0.0;0.0
24480;Saint-Paul-de-Serre;42;0.0;64.0;0.0;0.0;32.0;16.0;70.0;4.0;0.0
24481;Saint-Paul-la-Roche;71;2.0;82.0;0.0;78.0;0.0;14.0;107.0;0.0;0.0
24482;Saint-Paul-Lizonne;45;3.0;28.0;0.0;28.0;0.0;10.0;78.0;0.0;0.0
24483;Saint-Perdoux;43;1.0;21.0;0.0;18.0;0.0;3.0;46.0;0.0;0.0
24484;Saint-Pierre-de-Chignac;192;3.0;162.0;0.0;26.0;60.0;33.0;206.0;6.0;0.0
24485;Saint-Pierre-de-Côle;74;7.0;65.0;0.0;58.0;0.0;18.0;102.0;0.0;0.0
24486;Saint-Pierre-de-Frugie;99;1.0;108.0;0.0;58.0;0.0;19.0;96.0;0.0;0.0
24487;Saint-Pierre-d'Eyraud;282;20.0;224.0;0.0;156.0;0.0;60.0;430.0;0.0;0.0
24488;Saint-Pompon;84;2.0;81.0;0.0;0.0;38.0;18.0;103.0;4.0;0.0
24489;Saint-Priest-les-Fougères;64;1.0;41.0;0.0;45.0;0.0;15.0;83.0;0.0;0.0
24490;Saint Privat en Périgord;261;12.0;120.0;0.0;122.0;0.0;33.0;246.0;0.0;0.0
24491;Saint-Rabier;100;5.0;149.0;0.0;0.0;49.0;14.0;102.0;5.0;0.0
24492;Sainte-Radegonde;17;0.0;11.0;0.0;2.0;0.0;3.0;17.0;0.0;0.0
24493;Saint-Raphaël;22;1.0;23.0;0.0;22.0;0.0;5.0;9.0;0.0;0.0
24494;Saint-Rémy;94;5.0;73.0;0.0;77.0;0.0;15.0;122.0;0.0;0.0
24495;Saint-Romain-de-Monpazier;13;1.0;19.0;0.0;18.0;0.0;9.0;29.0;0.0;0.0
24496;Saint-Romain-et-Saint-Clément;53;4.0;50.0;0.0;61.0;0.0;19.0;86.0;0.0;0.0
24498;Saint-Saud-Lacoussière;179;4.0;132.0;0.0;146.0;0.0;29.0;182.0;0.0;0.0
24499;Saint-Sauveur;167;5.0;143.0;0.0;113.0;0.0;45.0;197.0;0.0;0.0
