CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
28146;Faverolles;319.0;4.0;73.0;8.0;108.0;9.0;12.0;30.0;73.0;16.0;0.0
28158;Fontenay-sur-Eure;392.0;6.0;65.0;11.0;167.0;41.0;1.0;44.0;117.0;12.0;0.0
28162;Fresnay-le-Comte;137.0;0.0;13.0;1.0;31.0;7.0;4.0;8.0;40.0;6.0;0.0
28163;Fresnay-le-Gilmert;74.0;1.0;22.0;1.0;27.0;18.0;1.0;4.0;16.0;1.0;0.0
28168;Gallardon;1460.0;16.0;230.0;33.0;259.0;42.0;8.0;114.0;246.0;62.0;0.0
28172;Gas;311.0;2.0;59.0;12.0;90.0;8.0;3.0;14.0;85.0;4.0;0.0
28173;Gasville-Oisème;514.0;5.0;120.0;9.0;197.0;17.0;5.0;39.0;91.0;27.0;0.0
28177;Gellainville;271.0;4.0;41.0;3.0;79.0;18.0;1.0;13.0;71.0;8.0;0.0
28191;Hanches;1044.0;16.0;212.0;27.0;359.0;32.0;23.0;63.0;181.0;47.0;0.0
28195;Houx;301.0;5.0;95.0;9.0;83.0;24.0;6.0;27.0;62.0;8.0;0.0
28201;Jouy;761.0;5.0;156.0;10.0;185.0;143.0;12.0;46.0;165.0;26.0;0.0
28213;Lormaye;214.0;1.0;47.0;8.0;66.0;11.0;0.0;28.0;59.0;7.0;0.0
28220;Luisant;2562.0;20.0;553.0;80.0;992.0;200.0;29.0;222.0;428.0;115.0;0.0
28227;Maintenon;1622.0;19.0;408.0;49.0;378.0;238.0;34.0;110.0;302.0;117.0;0.0
28249;Mévoisins;224.0;3.0;74.0;10.0;84.0;15.0;3.0;13.0;66.0;15.0;0.0
28253;Mignières;373.0;4.0;75.0;8.0;130.0;31.0;4.0;43.0;91.0;12.0;0.0
28269;Morancez;771.0;5.0;119.0;10.0;209.0;135.0;8.0;75.0;144.0;27.0;0.0
28275;Néron;242.0;0.0;62.0;11.0;87.0;10.0;8.0;24.0;62.0;19.0;0.0
28278;Nogent-le-Phaye;532.0;10.0;114.0;3.0;218.0;35.0;12.0;37.0;97.0;31.0;0.0
28279;Nogent-le-Roi;1547.0;16.0;250.0;31.0;372.0;55.0;20.0;106.0;271.0;60.0;0.0
28289;Ormoy;105.0;0.0;15.0;3.0;27.0;3.0;0.0;8.0;34.0;3.0;0.0
28298;Pierres;985.0;19.0;200.0;39.0;321.0;59.0;19.0;105.0;227.0;45.0;0.0
28299;Les Pinthières;61.0;3.0;6.0;0.0;18.0;2.0;0.0;4.0;12.0;2.0;0.0
28301;Poisvilliers;159.0;3.0;33.0;2.0;47.0;18.0;0.0;7.0;44.0;8.0;0.0
28309;Prunay-le-Gillon;399.0;6.0;85.0;4.0;136.0;22.0;3.0;34.0;119.0;18.0;0.0
28343;Saint-Laurent-la-Gâtine;170.0;2.0;33.0;7.0;52.0;2.0;2.0;18.0;48.0;10.0;0.0
28349;Saint-Lucien;88.0;0.0;25.0;6.0;66.0;11.0;6.0;14.0;26.0;6.0;0.0
28352;Saint-Martin-de-Nigelles;586.0;4.0;173.0;17.0;269.0;25.0;9.0;37.0;83.0;33.0;0.0
28357;Saint-Piat;381.0;5.0;116.0;18.0;147.0;25.0;12.0;41.0;119.0;16.0;0.0
28358;Saint-Prest;903.0;5.0;220.0;18.0;310.0;43.0;18.0;70.0;131.0;29.0;0.0
28372;Senantes;207.0;0.0;57.0;10.0;76.0;10.0;9.0;14.0;75.0;18.0;0.0
28379;Soulaires;166.0;2.0;35.0;11.0;57.0;11.0;4.0;8.0;72.0;7.0;0.0
28380;Sours;825.0;7.0;94.0;14.0;217.0;24.0;10.0;67.0;167.0;29.0;0.0
28388;Thivars;343.0;4.0;61.0;10.0;170.0;27.0;13.0;62.0;111.0;16.0;0.0
28403;Ver-lès-Chartres;279.0;2.0;45.0;10.0;133.0;27.0;7.0;68.0;74.0;13.0;0.0
28415;Villemeux-sur-Eure;651.0;11.0;86.0;7.0;171.0;19.0;5.0;78.0;189.0;29.0;0.0
28417;Villiers-le-Morhier;492.0;8.0;137.0;18.0;183.0;18.0;9.0;32.0;105.0;37.0;0.0
