CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
02360;Villeneuve-sur-Aisne;436;15;26;424;32;590;105;151;24;38;44;11;30
02361;Guise;1027;17;70;460;42;967;93;344;23;35;61;20;45
02362;Guivry;35;0;4;38;2;50;13;22;3;5;7;0;1
02363;Guny;69;1;5;29;6;120;20;27;0;3;9;1;7
02364;Guyencourt;42;1;4;36;8;43;5;23;1;13;9;2;6
02366;Hannapes;48;1;2;40;3;86;10;21;1;2;0;1;6
02367;Happencourt;27;0;2;4;4;47;6;24;0;2;5;0;3
02368;Haramont;89;0;11;83;14;137;20;58;4;11;22;1;4
02369;Harcigny;34;1;4;18;4;67;9;17;4;3;16;3;6
02370;Hargicourt;85;3;5;59;15;146;19;42;4;2;12;3;5
02371;Harly;279;6;19;239;16;294;47;161;6;21;30;5;19
02372;Hartennes-et-Taux;72;1;2;31;9;79;20;21;1;1;4;2;5
02373;Hary;48;0;2;50;1;56;9;11;1;1;1;0;4
02374;Lehaucourt;112;5;35;71;12;208;36;70;6;4;6;1;8
02375;Hautevesnes;23;1;2;16;3;32;11;20;0;4;3;0;3
02376;Hauteville;34;1;0;12;6;46;5;14;0;1;7;0;3
02377;Haution;18;0;0;18;4;36;5;4;1;5;13;1;3
02378;La Hérie;19;0;5;15;7;38;7;10;2;2;5;3;2
02379;Le Hérie-la-Viéville;32;2;3;27;3;54;13;10;0;0;12;1;3
02380;Hinacourt;12;0;1;3;0;10;4;0;0;0;2;0;0
02381;Hirson;2266;29;120;742;57;1595;226;600;81;63;87;32;65
02382;Holnon;188;3;25;205;21;295;60;130;8;32;37;4;12
02383;Homblières;243;2;19;212;12;309;63;139;8;29;57;6;26
02384;Houry;11;0;1;12;2;13;1;3;0;0;2;0;0
02385;Housset;23;0;2;22;1;55;18;12;0;1;1;1;1
02386;Iron;51;0;1;22;5;59;3;9;2;1;5;0;1
02387;Itancourt;162;8;5;179;14;201;55;90;5;25;41;5;11
02388;Iviers;33;0;5;24;3;62;11;3;0;2;4;0;1
02389;Jaulgonne;123;4;13;81;8;130;26;55;1;11;18;6;17
02390;Jeancourt;43;1;4;18;2;51;17;19;3;3;7;0;3
02391;Jeantes;33;0;0;29;8;47;10;9;0;0;5;1;1
02392;Joncourt;57;0;6;32;7;93;30;25;3;9;5;1;7
02393;Jouaignes;20;2;1;23;4;37;4;6;1;2;9;1;0
02395;Jumencourt;41;0;1;13;2;36;9;8;0;6;2;2;2
02396;Jumigny;8;1;0;7;1;11;2;8;0;1;2;0;2
02397;Jussy;250;1;17;115;15;321;49;86;3;4;23;6;8
02398;Juvigny;58;2;3;40;4;90;6;19;1;3;3;3;5
02399;Juvincourt-et-Damary;85;4;2;69;11;137;29;37;6;4;15;3;4
02400;Laffaux;17;0;3;13;0;45;4;17;1;4;5;0;1
02401;Laigny;38;0;6;33;4;51;10;8;0;1;4;0;3
02402;Lanchy;14;0;0;4;1;17;4;1;0;0;1;0;0
02403;Landifay-et-Bertaignemont;52;1;1;28;5;85;26;17;0;0;6;1;1
02404;Landouzy-la-Cour;28;2;0;27;11;53;5;8;1;1;4;0;1
02405;Landouzy-la-Ville;83;1;10;81;12;119;19;47;3;5;10;5;7
02406;Landricourt;27;0;0;20;3;20;8;15;1;3;4;0;0
02407;Laniscourt;28;0;0;27;4;54;8;24;1;3;3;1;7
02408;Laon;5451;78;232;2368;203;3124;621;1843;124;439;334;84;136
02409;Lappion;47;0;5;43;4;87;9;8;3;2;4;0;0
02410;Largny-sur-Automne;49;3;2;32;9;32;10;25;0;8;9;1;3
02411;Latilly;53;1;0;13;2;51;15;15;0;1;10;1;2
02412;Launoy;15;1;2;19;1;27;3;2;0;2;3;0;0
02413;Laval-en-Laonnois;22;2;6;48;2;65;5;15;1;9;1;2;3
02414;Lavaqueresse;22;2;2;39;9;52;6;9;1;5;12;2;2
02415;Laversine;13;2;0;15;3;38;8;12;0;3;4;0;2
02416;Lemé;83;1;5;25;5;110;21;38;3;2;15;2;4
02417;Lempire;17;0;1;12;1;35;3;10;2;0;7;0;1
02418;Lerzy;30;1;4;31;6;52;5;13;0;5;2;1;5
02419;Leschelle;49;0;2;34;8;57;14;21;0;3;12;0;6
02420;Lesdins;118;9;9;125;12;177;40;60;8;10;31;3;8
02421;Lesges;8;0;1;8;0;14;10;12;1;0;2;0;0
02422;Lesquielles-Saint-Germain;170;3;7;77;8;187;15;69;4;4;19;1;8
02423;Leuilly-sous-Coucy;72;3;6;56;10;111;12;32;3;8;8;2;9
02424;Leury;18;1;2;12;6;24;3;6;1;4;4;0;4
02425;Leuze;28;0;3;23;0;54;16;7;0;0;5;0;1
02426;Levergies;80;3;9;79;4;134;21;40;2;9;11;4;6
02427;Lhuys;20;1;1;7;2;40;2;13;0;2;3;0;4
02428;Licy-Clignon;12;0;2;12;0;16;1;9;0;0;5;1;0
02429;Lierval;8;4;3;24;2;24;6;12;0;0;2;0;0
02430;Liesse-Notre-Dame;182;7;14;108;13;304;43;73;5;10;27;5;17
02431;Liez;82;3;5;40;9;100;10;54;1;4;2;1;5
02432;Limé;33;0;1;24;4;49;14;6;0;5;9;3;1
02433;Lislet;38;2;0;37;2;73;10;18;1;4;9;2;3
02435;Logny-lès-Aubenton;7;0;4;21;1;30;5;1;0;0;1;0;1
02438;Longpont;37;3;1;48;4;51;13;19;0;7;11;1;4
02439;Les Septvallons;178;3;17;142;17;273;34;69;8;15;25;5;14
02440;Lor;20;0;1;20;0;43;7;2;0;0;5;1;4
02441;Louâtre;31;1;2;36;5;44;10;20;2;2;10;0;5
02442;Loupeigne;13;3;0;8;1;22;2;6;0;1;7;0;4
02443;Lucy-le-Bocage;28;1;4;29;4;31;9;11;0;6;12;3;3
02444;Lugny;22;0;5;5;1;38;10;10;1;1;2;1;0
02445;Luzoir;44;1;1;47;2;61;12;23;4;1;4;7;2
02446;Ly-Fontaine;19;0;1;23;4;25;6;7;2;2;5;0;0
02447;Maast-et-Violaine;21;0;3;22;1;20;9;12;0;2;1;0;1
02448;Mâchecourt;14;1;1;11;6;32;10;12;0;4;2;0;0
02449;Macogny;15;1;1;3;1;12;8;4;0;0;5;0;0
02450;Macquigny;57;0;5;39;7;78;11;28;2;0;10;3;6
02451;Magny-la-Fosse;16;0;2;16;2;33;2;17;0;3;5;0;3
02452;Maissemy;29;0;3;46;4;50;11;27;0;10;13;2;6
