CODGEO;LIBGEO;Abstention;Extrême-Gauche;LFI;PCF;PS;EELV;Divers Gauche;LREM;LR;Divers Droite;Debout la France;FN;Divers
70444;La Résie-Saint-Martin;34.0;1.0;4.0;0.0;8.0;2.0;0.0;18.0;2.0;15.0;1.0;23.0;1.0
70446;Rigny;220.0;0.0;13.0;2.0;20.0;1.0;0.0;89.0;95.0;19.0;2.0;49.0;0.0
70447;Rioz;675.0;8.0;87.0;2.0;38.0;12.0;0.0;282.0;53.0;91.0;17.0;94.0;2.0
70448;Roche-et-Raucourt;46.0;0.0;2.0;0.0;2.0;0.0;0.0;23.0;25.0;8.0;0.0;9.0;6.0
70450;La Rochelle;12.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;9.0;9.0;0.0;2.0;0.0
70452;Rosey;121.0;3.0;14.0;1.0;3.0;1.0;0.0;29.0;9.0;21.0;1.0;27.0;3.0
70454;Rosières-sur-Mance;26.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0;4.0;6.0;0.0;8.0;0.0
70457;Rupt-sur-Saône;40.0;2.0;5.0;1.0;2.0;1.0;0.0;23.0;12.0;9.0;1.0;17.0;0.0
70461;Saint-Broing;35.0;0.0;10.0;0.0;6.0;0.0;0.0;11.0;13.0;24.0;0.0;7.0;0.0
70463;Saint-Gand;46.0;2.0;3.0;0.0;1.0;0.0;0.0;12.0;9.0;6.0;0.0;16.0;0.0
70466;Saint-Loup-Nantouard;51.0;0.0;5.0;0.0;5.0;0.0;0.0;12.0;4.0;15.0;1.0;8.0;0.0
70468;Saint-Marcel;48.0;1.0;3.0;6.0;6.0;0.0;0.0;4.0;7.0;11.0;0.0;8.0;0.0
70471;Sainte-Reine;12.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;5.0;0.0;2.0;4.0
70472;Saint-Remy;121.0;2.0;7.0;4.0;1.0;0.0;0.0;32.0;7.0;18.0;5.0;18.0;1.0
70476;Saponcourt;18.0;0.0;3.0;0.0;1.0;0.0;0.0;7.0;5.0;14.0;0.0;15.0;0.0
70479;Sauvigney-lès-Gray;36.0;0.0;4.0;0.0;4.0;0.0;0.0;10.0;3.0;19.0;1.0;11.0;0.0
70480;Sauvigney-lès-Pesmes;59.0;0.0;7.0;1.0;4.0;1.0;0.0;22.0;7.0;5.0;1.0;16.0;0.0
70481;Savoyeux;74.0;0.0;10.0;0.0;3.0;2.0;0.0;22.0;29.0;9.0;7.0;12.0;1.0
70482;Scey-sur-Saône-et-Saint-Albin;560.0;4.0;38.0;5.0;27.0;9.0;0.0;181.0;76.0;76.0;6.0;132.0;0.0
70483;Scye;26.0;0.0;11.0;0.0;0.0;0.0;0.0;16.0;9.0;18.0;4.0;9.0;1.0
70486;Semmadon;40.0;0.0;8.0;1.0;3.0;1.0;0.0;8.0;4.0;11.0;1.0;17.0;1.0
70488;Senoncourt;48.0;1.0;14.0;1.0;3.0;1.0;0.0;33.0;8.0;24.0;5.0;19.0;2.0
70491;Seveux;212.0;1.0;13.0;3.0;6.0;2.0;0.0;31.0;55.0;11.0;3.0;36.0;1.0
70492;Soing-Cubry-Charentenay;164.0;1.0;11.0;0.0;3.0;1.0;0.0;70.0;40.0;74.0;4.0;53.0;1.0
70493;Sorans-lès-Breurey;131.0;2.0;16.0;0.0;2.0;2.0;0.0;82.0;10.0;27.0;4.0;34.0;4.0
70494;Sornay;93.0;1.0;19.0;2.0;7.0;1.0;0.0;33.0;13.0;12.0;0.0;26.0;1.0
70496;Tartécourt;8.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;2.0;5.0;0.0;10.0;0.0
70499;Theuley;34.0;0.0;5.0;0.0;1.0;1.0;0.0;14.0;27.0;0.0;0.0;4.0;2.0
70502;Tincey-et-Pontrebeau;29.0;0.0;1.0;0.0;0.0;1.0;0.0;10.0;26.0;4.0;0.0;11.0;0.0
70503;Traitiéfontaine;75.0;0.0;6.0;0.0;6.0;0.0;0.0;20.0;4.0;9.0;0.0;8.0;0.0
70504;Traves;128.0;1.0;16.0;2.0;7.0;0.0;0.0;68.0;5.0;28.0;4.0;29.0;1.0
70505;Le Tremblois;52.0;1.0;8.0;1.0;4.0;0.0;0.0;15.0;14.0;9.0;0.0;14.0;0.0
70507;Trésilley;84.0;2.0;14.0;0.0;6.0;0.0;0.0;16.0;5.0;11.0;5.0;23.0;1.0
70509;Tromarey;39.0;0.0;1.0;0.0;5.0;3.0;0.0;6.0;5.0;10.0;0.0;11.0;0.0
70510;Vadans;45.0;1.0;7.0;1.0;0.0;1.0;0.0;15.0;12.0;9.0;2.0;17.0;0.0
70511;Vaite;89.0;2.0;2.0;0.0;5.0;0.0;0.0;15.0;24.0;5.0;2.0;17.0;0.0
70513;Vaivre-et-Montoille;861.0;5.0;134.0;9.0;31.0;8.0;0.0;386.0;62.0;249.0;26.0;181.0;10.0
70514;Valay;224.0;0.0;19.0;0.0;8.0;1.0;0.0;40.0;29.0;22.0;4.0;65.0;0.0
70518;Le Val-Saint-Eloi;35.0;0.0;5.0;0.0;0.0;0.0;0.0;23.0;3.0;8.0;1.0;8.0;2.0
70519;Vandelans;35.0;3.0;7.0;0.0;0.0;3.0;0.0;11.0;0.0;10.0;2.0;7.0;2.0
70520;Vanne;28.0;0.0;0.0;1.0;5.0;0.0;0.0;25.0;14.0;2.0;1.0;3.0;1.0
70521;Vantoux-et-Longevelle;59.0;0.0;11.0;1.0;3.0;0.0;0.0;19.0;11.0;11.0;1.0;21.0;1.0
70522;Varogne;41.0;0.0;0.0;1.0;4.0;1.0;0.0;22.0;6.0;14.0;3.0;15.0;0.0
70523;Vars;78.0;0.0;11.0;2.0;3.0;1.0;0.0;8.0;33.0;12.0;1.0;26.0;0.0
70524;Vauchoux;31.0;0.0;10.0;0.0;5.0;1.0;0.0;14.0;10.0;9.0;1.0;7.0;0.0
70525;Vauconcourt-Nervezain;40.0;0.0;2.0;0.0;1.0;1.0;0.0;11.0;95.0;7.0;1.0;8.0;1.0
70527;Vaux-le-Moncelot;25.0;0.0;3.0;3.0;5.0;1.0;0.0;0.0;1.0;13.0;0.0;5.0;1.0
70528;Velesmes-Echevanne;143.0;0.0;5.0;1.0;15.0;2.0;0.0;70.0;26.0;52.0;2.0;57.0;5.0
70529;Velet;131.0;1.0;13.0;1.0;3.0;1.0;0.0;56.0;20.0;32.0;7.0;45.0;1.0
70531;Velleclaire;35.0;0.0;3.0;0.0;4.0;0.0;0.0;14.0;3.0;9.0;2.0;7.0;0.0
70533;Vellefrey-et-Vellefrange;30.0;2.0;0.0;1.0;0.0;0.0;0.0;19.0;4.0;9.0;2.0;10.0;0.0
70534;Vellefrie;34.0;0.0;7.0;0.0;1.0;1.0;0.0;21.0;7.0;8.0;4.0;11.0;2.0
70535;Velleguindry-et-Levrecey;61.0;2.0;9.0;2.0;8.0;1.0;0.0;19.0;4.0;13.0;0.0;12.0;0.0
70536;Velle-le-Châtel;46.0;0.0;11.0;2.0;3.0;1.0;0.0;13.0;9.0;6.0;1.0;14.0;1.0
70538;Vellemoz;30.0;1.0;2.0;1.0;3.0;0.0;0.0;10.0;10.0;8.0;0.0;5.0;1.0
70539;Vellexon-Queutrey-et-Vaudey;153.0;0.0;11.0;0.0;2.0;1.0;0.0;45.0;57.0;15.0;2.0;63.0;1.0
